"pop","locus_0","locus_1","locus_2","locus_3","locus_4","locus_5","locus_6","locus_7","locus_8","locus_9","locus_10","locus_11","locus_12","locus_13","locus_14","locus_15","locus_16","locus_17","locus_18","locus_19","locus_20","locus_21","locus_22","locus_23","locus_24","locus_25","locus_26","locus_27","locus_28","locus_29","locus_30","locus_31","locus_32","locus_33","locus_34","locus_35","locus_36","locus_37","locus_38","locus_39","locus_40","locus_41","locus_42","locus_43","locus_44","locus_45","locus_46","locus_47","locus_48","locus_49","locus_50","locus_51","locus_52","locus_53","locus_54","locus_55","locus_56","locus_57","locus_58","locus_59","locus_60","locus_61","locus_62","locus_63","locus_64","locus_65","locus_66","locus_67","locus_68","total_fit","trial_0_fit","trial_1_fit","trial_2_fit","trial_3_fit","trial_4_fit","trial_5_fit","trial_6_fit","trial_7_fit","trial_8_fit","trial_9_fit","trial_10_fit","trial_11_fit","trial_12_fit","trial_13_fit","trial_14_fit"
"0","77","78","46","152","233","58","213","87","243","60","113","56","193","126","63","16","11","173","128","175","38","16","172","194","104","18","49","246","46","206","246","80","224","126","29","72","104","153","197","170","193","117","9","10","23","238","64","39","83","59","254","208","160","249","174","38","174","108","25","245","178","135","89","202","46","244","228","115","92","18.4","0.0","0.0","0.0","11.75","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","226.5","37.75","0.0"
"1","77","78","46","152","233","58","213","87","243","60","113","56","193","126","63","16","11","173","128","175","173","16","172","194","104","18","49","246","148","206","246","80","224","126","29","72","104","153","197","170","193","117","9","10","23","238","64","39","83","59","254","208","160","249","174","38","174","108","25","1","178","135","89","202","46","244","228","115","209","427.71666666666664","507.0","445.5","459.5","656.5","-17.75","629.0","453.5","544.0","179.0","351.5","754.0","433.0","577.25","201.5","242.25"
"2","77","78","46","152","233","58","213","87","243","60","113","56","193","126","63","16","11","173","128","175","173","16","172","194","104","18","49","246","46","206","246","80","224","126","29","72","104","153","197","170","193","117","9","10","23","238","64","39","83","59","254","208","160","249","174","38","174","108","25","1","178","135","89","202","46","244","228","115","64","270.71666666666664","368.75","727.0","-1024.75","47.25","640.0","-226.5","91.0","588.5","262.25","297.75","348.0","447.5","440.75","608.0","445.25"
"3","77","78","46","152","233","58","213","87","243","60","113","56","193","126","63","16","11","173","128","175","173","16","172","194","104","18","49","246","46","206","246","80","224","126","29","72","104","153","197","170","193","117","9","10","23","238","64","39","83","59","254","208","160","249","174","38","174","108","25","1","178","135","31","202","46","244","228","115","64","274.1","69.0","218.5","337.25","266.75","462.75","223.25","243.75","233.75","218.25","587.0","77.0","33.75","272.5","340.0","528.0"
"4","77","78","46","152","233","58","213","87","243","60","113","56","193","126","63","16","11","173","128","175","173","16","172","41","104","18","49","246","46","206","246","80","224","126","29","72","104","153","197","170","193","117","9","10","23","238","64","39","83","59","254","208","160","249","174","38","174","108","25","1","178","135","89","202","46","244","228","115","64","334.03333333333336","397.75","582.75","332.75","574.5","571.25","710.75","587.0","540.5","-542.75","99.25","373.75","-320.5","604.5","192.0","307.0"
"5","77","78","46","152","233","58","213","87","243","60","113","56","193","126","63","16","11","173","128","175","173","16","172","194","104","18","49","246","148","206","246","80","224","126","29","72","104","153","197","170","193","117","9","10","23","208","64","61","83","59","254","208","160","249","174","38","174","108","25","1","178","135","89","200","46","244","228","115","64","238.35","288.75","235.75","286.25","-29.5","572.75","645.25","168.75","-83.0","5.25","748.0","320.75","272.75","-353.0","234.75","261.75"
"6","77","78","46","152","233","58","213","87","243","60","113","56","193","126","63","16","11","173","128","175","173","16","172","194","104","18","49","246","46","206","246","80","224","126","29","72","162","153","197","170","193","117","9","10","23","208","64","61","83","59","254","208","160","249","174","38","174","108","25","1","178","135","89","200","46","244","228","115","64","312.18333333333334","610.25","195.25","596.5","626.75","33.75","-340.25","55.25","349.5","204.5","577.25","-40.25","517.5","381.75","820.25","94.75"
"7","77","78","46","152","233","58","213","87","243","60","113","56","193","126","63","16","11","173","128","175","173","16","172","194","104","18","49","246","46","206","246","80","224","126","29","72","104","153","197","170","193","117","9","10","23","208","64","61","83","59","254","208","160","249","174","38","174","108","25","1","178","135","89","200","46","244","228","115","64","350.98333333333335","46.25","219.5","677.25","522.5","-385.0","735.75","461.0","86.0","298.25","356.0","533.5","650.25","467.0","203.0","393.5"
"8","77","78","46","152","233","58","213","87","243","60","113","56","193","126","63","16","11","173","128","175","173","16","172","194","104","18","49","246","46","206","246","80","224","126","29","72","104","153","197","170","193","117","9","10","23","208","64","61","83","59","254","208","160","249","174","38","174","108","25","1","178","135","89","200","46","244","228","115","64","387.9166666666667","383.25","266.0","676.5","48.0","715.0","536.75","401.5","342.25","-148.5","460.0","300.75","566.5","458.5","671.75","140.5"
"9","77","78","46","152","233","58","213","87","243","60","113","56","193","126","63","16","11","173","128","175","173","16","172","194","104","18","49","246","46","206","246","80","224","126","29","72","104","153","197","170","193","117","9","10","23","208","64","61","83","59","254","208","160","249","174","38","174","108","25","1","178","135","89","200","46","244","228","115","64","265.78333333333336","351.5","792.5","296.0","-266.75","438.0","-709.5","-298.0","420.25","555.75","737.0","516.5","515.25","181.0","501.25","-44.0"
