"pop","locus_0","locus_1","locus_2","locus_3","locus_4","locus_5","locus_6","locus_7","locus_8","locus_9","locus_10","locus_11","locus_12","locus_13","locus_14","locus_15","locus_16","locus_17","locus_18","locus_19","locus_20","locus_21","locus_22","locus_23","locus_24","locus_25","locus_26","locus_27","locus_28","locus_29","locus_30","locus_31","locus_32","locus_33","locus_34","locus_35","locus_36","locus_37","locus_38","locus_39","locus_40","locus_41","locus_42","locus_43","locus_44","locus_45","locus_46","locus_47","locus_48","locus_49","locus_50","locus_51","locus_52","locus_53","locus_54","locus_55","locus_56","locus_57","locus_58","locus_59","locus_60","locus_61","locus_62","locus_63","locus_64","locus_65","locus_66","locus_67","locus_68","total_fit","trial_0_fit","trial_1_fit","trial_2_fit"
"0","188","240","27","60","240","212","189","132","42","120","101","205","253","1","202","94","130","153","76","43","104","190","238","61","68","193","125","79","50","246","106","172","81","64","0","97","144","123","54","69","183","70","64","237","97","183","60","214","209","233","66","49","121","252","251","252","27","244","89","88","147","248","8","131","76","158","37","25","55","0.0","0.0","0.0","0.0"
"1","188","240","27","60","240","212","189","132","42","120","101","205","253","1","202","94","130","153","76","43","104","190","238","61","68","193","125","79","50","246","106","172","81","64","0","97","144","123","54","69","183","70","64","237","97","183","60","214","209","233","66","49","121","252","251","252","114","14","89","88","147","248","8","131","76","158","37","25","55","91.25","133.5","44.75","95.5"
"2","188","240","27","60","240","212","189","132","42","120","101","205","253","1","202","94","130","153","76","43","104","190","238","61","68","193","125","79","50","246","106","172","81","64","0","97","144","123","54","69","183","70","64","237","97","183","60","214","209","233","66","49","121","252","251","252","27","244","89","88","147","248","8","131","76","158","37","25","55","102.25","212.0","0.0","94.75"
"3","188","240","27","60","240","212","189","132","42","120","101","205","253","1","202","94","130","153","76","43","104","190","238","61","68","193","125","79","50","246","106","172","81","64","0","97","144","123","54","69","183","70","64","237","97","183","60","214","209","233","66","49","121","252","251","252","27","244","89","88","147","248","8","131","76","158","37","25","55","0.0","0.0","0.0","0.0"
"4","188","240","27","60","240","212","189","132","42","120","101","205","253","1","202","94","130","153","76","43","104","190","238","61","68","193","125","79","50","246","106","172","81","64","0","97","144","123","54","69","183","70","64","237","97","183","146","214","209","233","66","49","121","252","251","252","27","244","89","88","147","248","8","131","76","158","37","25","55","67.5","202.5","0.0","0.0"
"5","6","52","82","199","29","254","52","239","123","235","75","96","11","11","219","40","181","42","225","51","66","16","149","76","242","180","235","242","18","182","196","114","140","175","177","78","119","6","144","150","144","122","29","63","126","45","60","127","184","28","49","60","207","129","176","60","85","13","172","75","175","15","75","155","181","27","138","21","20","0.0","0.0","0.0","0.0"
"6","6","52","82","199","29","254","52","239","95","235","75","96","156","11","219","40","181","42","225","51","66","16","149","76","242","180","235","242","18","182","196","114","140","175","177","78","119","6","144","150","144","122","29","63","126","45","60","127","184","28","49","60","207","129","176","60","85","13","172","75","175","15","75","155","181","27","138","21","20","21.333333333333332","0.0","0.0","64.0"
"7","6","52","82","199","46","254","52","239","95","235","75","96","156","11","100","40","181","42","225","51","66","16","149","76","242","180","235","242","18","182","196","114","140","175","177","78","119","6","144","150","144","122","29","63","126","45","60","127","184","28","49","60","207","129","176","60","85","13","172","75","175","15","75","155","181","27","138","21","20","0.0","0.0","0.0","0.0"
"8","6","52","82","199","29","254","52","239","95","235","75","96","156","11","219","40","181","42","225","51","66","16","149","76","242","180","235","242","18","182","196","114","140","175","177","78","142","6","144","150","144","122","29","63","126","45","60","127","27","28","49","60","207","129","176","60","85","13","172","75","175","15","75","155","181","27","138","21","20","27.916666666666668","0.0","83.75","0.0"
"9","6","52","82","199","29","254","52","239","95","235","75","96","156","11","219","40","181","42","225","51","66","16","149","76","242","180","235","242","41","182","196","114","140","175","177","78","119","6","144","150","144","122","29","63","126","45","60","37","184","28","49","60","207","129","176","60","85","13","172","75","175","15","75","155","181","27","138","21","20","0.0","0.0","0.0","0.0"
