"pop","locus_0","locus_1","locus_2","locus_3","locus_4","locus_5","locus_6","locus_7","locus_8","locus_9","locus_10","locus_11","locus_12","locus_13","locus_14","locus_15","locus_16","locus_17","locus_18","locus_19","locus_20","locus_21","locus_22","locus_23","locus_24","locus_25","locus_26","locus_27","locus_28","locus_29","locus_30","locus_31","locus_32","locus_33","locus_34","locus_35","locus_36","locus_37","locus_38","locus_39","locus_40","locus_41","locus_42","locus_43","locus_44","locus_45","locus_46","locus_47","locus_48","locus_49","locus_50","locus_51","locus_52","locus_53","locus_54","locus_55","locus_56","locus_57","locus_58","locus_59","locus_60","locus_61","locus_62","locus_63","locus_64","total_fit","trial_0_fit","trial_1_fit","trial_2_fit"
"0","164","87","183","187","68","20","59","45","254","151","47","43","123","162","114","255","251","251","221","211","153","94","140","104","226","114","98","47","0","231","154","176","70","13","145","19","153","58","241","232","147","69","59","242","165","24","61","8","160","50","35","157","25","133","30","169","252","190","167","82","143","167","13","7","62","45.416666666666664","0.0","3.25","133.0"
"1","164","87","183","187","68","20","59","45","254","151","47","43","123","162","114","255","251","251","221","211","153","94","140","104","226","114","98","47","0","231","154","176","70","13","145","19","153","58","241","232","147","69","59","242","165","24","61","8","160","50","35","157","7","133","30","169","252","190","167","82","143","167","13","7","62","65.75","0.0","145.5","51.75"
"2","164","87","183","187","68","20","59","45","254","151","47","43","123","162","114","255","251","251","221","211","153","94","140","104","226","114","98","47","0","231","154","176","70","13","145","19","153","58","241","232","147","69","59","242","165","24","61","8","160","50","35","157","7","133","30","169","252","190","167","82","143","167","13","7","62","0.0","0.0","0.0","0.0"
"3","164","87","183","187","68","20","59","45","254","151","47","43","123","162","114","255","251","251","221","211","153","94","140","104","226","114","98","47","0","231","154","176","70","13","145","19","153","58","241","232","147","69","59","242","165","24","61","8","160","50","35","157","7","133","30","169","252","190","167","82","143","160","13","7","62","15.583333333333334","0.0","46.75","0.0"
"4","164","87","183","187","68","20","59","45","254","231","47","43","123","162","114","255","251","251","221","211","153","94","140","104","226","114","98","47","0","231","154","176","70","13","145","19","153","58","241","232","147","69","59","242","165","24","61","8","160","50","35","157","7","133","30","169","252","190","167","82","143","167","13","7","62","0.0","0.0","0.0","0.0"
"5","28","47","108","92","126","252","241","222","179","29","2","254","146","167","0","126","61","146","97","70","43","27","252","36","113","254","40","255","93","154","198","209","124","205","131","75","118","157","124","167","83","96","138","125","34","207","35","199","200","122","231","136","151","237","85","200","18","183","33","69","178","210","4","4","101","19.333333333333332","58.0","0.0","0.0"
"6","28","47","108","92","126","252","241","222","179","29","2","254","123","167","0","126","61","146","97","70","43","27","231","36","113","254","40","255","93","154","198","209","124","205","131","75","118","157","124","167","83","96","138","125","234","207","35","199","224","122","231","136","151","237","85","200","18","183","33","69","178","210","4","4","101","64.5","0.0","0.0","193.5"
"7","28","47","108","92","126","252","241","222","179","29","2","254","123","167","0","126","61","146","97","70","43","125","252","74","113","254","40","255","93","154","198","209","124","205","131","75","118","157","124","167","83","96","138","125","146","207","35","199","200","122","231","136","151","237","85","200","18","183","33","69","178","210","4","4","101","238.5","235.75","231.25","248.5"
"8","28","47","108","92","126","252","241","222","179","29","2","254","123","167","0","126","61","146","97","70","43","27","252","120","113","254","40","193","93","154","198","209","124","205","131","75","118","157","124","167","83","96","138","125","34","207","35","199","200","122","231","136","151","237","85","200","18","183","33","69","178","210","4","4","101","140.66666666666666","0.0","0.0","422.0"
"9","28","47","108","92","126","252","241","100","179","29","2","254","123","167","0","126","61","146","97","70","43","27","252","36","113","254","40","255","93","154","198","209","124","205","131","75","118","157","124","167","27","96","138","125","34","207","35","199","200","122","231","136","151","237","85","200","18","183","33","69","178","210","4","4","101","148.66666666666666","217.25","228.75","0.0"
