"pop","locus_0","locus_1","locus_2","locus_3","locus_4","locus_5","locus_6","locus_7","locus_8","locus_9","locus_10","locus_11","locus_12","locus_13","locus_14","locus_15","locus_16","locus_17","locus_18","locus_19","locus_20","locus_21","locus_22","locus_23","locus_24","locus_25","locus_26","locus_27","locus_28","locus_29","locus_30","locus_31","locus_32","locus_33","locus_34","locus_35","locus_36","locus_37","locus_38","locus_39","locus_40","locus_41","locus_42","locus_43","locus_44","locus_45","locus_46","locus_47","locus_48","locus_49","locus_50","locus_51","locus_52","locus_53","locus_54","locus_55","locus_56","locus_57","locus_58","locus_59","locus_60","locus_61","locus_62","locus_63","locus_64","total_fit","trial_0_fit","trial_1_fit","trial_2_fit"
"0","82","13","62","17","30","32","140","195","57","230","209","42","186","28","229","59","81","216","144","178","250","42","152","189","13","75","214","221","218","91","176","91","31","91","242","237","201","77","113","29","149","75","156","207","228","222","252","42","67","194","78","54","177","123","45","20","120","85","46","134","197","102","172","112","168","6.25","0.0","0.0","18.75"
"1","82","13","62","17","30","32","140","184","57","54","209","42","186","28","229","59","81","216","144","178","250","42","152","189","13","75","214","221","218","91","176","91","31","91","242","237","201","77","113","29","149","75","156","207","228","222","252","42","67","194","78","54","177","123","45","20","120","85","46","134","197","102","172","112","168","0.0","0.0","0.0","0.0"
"2","82","13","62","17","30","32","140","195","57","230","209","42","186","28","229","59","81","216","144","178","250","42","152","189","13","75","214","221","218","91","176","91","31","91","242","237","201","77","113","29","149","75","156","207","228","222","252","42","67","194","78","54","177","123","45","20","120","85","46","134","197","102","172","112","168","11.083333333333334","0.0","33.25","0.0"
"3","82","13","62","17","30","32","140","195","57","230","209","42","186","28","229","59","81","216","144","178","250","42","41","189","13","75","214","221","218","91","176","91","234","91","242","237","201","77","113","29","149","75","156","207","228","222","252","42","67","194","78","54","177","123","45","20","120","85","46","134","197","102","172","112","168","75.66666666666667","0.0","227.0","0.0"
"4","82","13","62","17","30","32","140","195","57","230","209","42","186","28","229","59","81","216","144","178","250","42","152","189","13","75","214","221","218","91","176","91","31","91","242","237","201","77","113","29","149","75","156","207","228","222","252","42","67","194","78","54","177","123","45","20","120","85","46","134","197","102","172","112","168","74.41666666666667","223.25","0.0","0.0"
"5","250","66","184","244","52","194","139","26","253","233","38","237","126","212","51","184","14","231","177","111","221","14","97","16","145","33","252","193","96","138","139","160","202","105","170","0","232","220","17","132","207","29","210","225","195","37","13","229","222","27","62","141","220","30","141","113","216","149","95","79","251","137","255","188","118","0.08333333333333333","0.0","0.25","0.0"
"6","250","66","184","244","52","194","139","26","245","85","38","237","126","212","51","184","14","231","177","111","221","14","97","16","145","33","252","198","96","138","139","160","202","105","170","0","232","220","17","132","207","31","210","225","195","37","13","229","222","147","62","141","220","30","141","113","216","149","95","79","251","137","255","1","118","0.0","0.0","0.0","0.0"
"7","250","66","184","244","52","194","139","26","253","26","38","237","126","212","51","184","14","231","177","111","221","14","97","16","145","33","252","198","96","138","139","160","202","105","170","0","232","220","17","132","207","31","210","225","195","37","13","229","222","147","62","141","220","30","141","113","216","149","95","79","251","137","255","188","118","0.0","0.0","0.0","0.0"
"8","250","66","184","244","52","194","139","26","253","233","38","237","126","212","51","184","14","231","177","111","221","14","97","16","145","33","252","198","96","138","139","160","202","105","170","0","232","220","17","132","207","31","210","225","195","37","13","174","222","147","62","141","220","30","141","113","216","149","95","79","251","137","255","188","118","73.83333333333333","221.5","0.0","0.0"
"9","250","66","184","244","52","194","139","26","253","233","38","237","126","212","51","184","14","231","177","111","221","144","97","16","145","33","252","198","96","138","139","160","202","105","170","0","232","220","17","132","207","31","210","225","195","37","13","229","222","147","62","141","220","30","141","113","216","149","95","79","251","137","255","188","118","74.83333333333333","223.0","1.5","0.0"
