"pop","locus_0","locus_1","locus_2","locus_3","locus_4","locus_5","locus_6","locus_7","locus_8","locus_9","locus_10","locus_11","locus_12","locus_13","locus_14","locus_15","locus_16","locus_17","locus_18","locus_19","locus_20","locus_21","locus_22","locus_23","locus_24","locus_25","locus_26","locus_27","locus_28","locus_29","locus_30","locus_31","locus_32","locus_33","locus_34","locus_35","locus_36","locus_37","locus_38","locus_39","locus_40","locus_41","locus_42","locus_43","locus_44","locus_45","locus_46","locus_47","locus_48","locus_49","locus_50","locus_51","locus_52","locus_53","locus_54","locus_55","locus_56","locus_57","locus_58","locus_59","locus_60","locus_61","locus_62","locus_63","locus_64","locus_65","locus_66","locus_67","locus_68","total_fit","trial_0_fit"
"0","85","222","158","178","240","146","129","186","253","228","80","102","94","93","162","53","45","245","167","207","95","138","12","186","249","78","162","210","154","87","4","43","87","11","18","47","43","120","111","49","105","15","124","12","210","105","84","159","65","163","255","105","118","35","1","203","89","250","106","183","161","111","122","229","207","198","153","17","3","79.75","79.75"
"1","85","222","158","178","240","146","129","186","253","228","80","102","94","93","162","53","45","245","167","207","95","138","12","186","249","78","162","210","154","87","4","43","87","11","18","47","43","120","111","49","105","15","124","12","210","105","84","159","65","163","145","105","118","35","1","203","89","250","106","183","161","111","122","229","207","198","153","67","3","112.25","112.25"
"2","85","222","158","178","240","146","129","186","253","228","80","102","94","93","162","53","45","245","167","207","95","138","12","186","249","78","162","210","154","87","4","43","87","11","18","47","43","120","111","49","105","15","124","12","210","105","84","159","65","163","255","105","118","35","1","203","89","250","106","183","161","111","122","229","207","198","153","17","3","60.5","60.5"
"3","85","222","158","178","240","146","129","186","253","228","80","102","94","93","162","53","45","245","167","207","95","138","12","186","249","78","162","210","154","87","4","43","87","11","18","47","43","120","111","49","105","15","124","12","210","105","84","159","65","163","255","105","118","35","1","203","89","250","106","183","161","111","122","229","207","198","153","17","3","107.5","107.5"
"4","85","222","158","178","240","146","129","186","253","228","80","102","94","93","162","53","45","245","167","207","95","138","12","186","249","78","162","210","154","87","4","43","87","11","18","47","43","120","111","49","105","65","124","12","210","105","84","159","65","163","255","105","118","35","1","203","89","250","106","183","161","111","122","229","207","198","153","17","3","52.75","52.75"
"5","131","202","58","162","162","11","210","172","245","110","60","2","151","31","121","180","175","142","3","39","195","168","127","3","246","235","250","227","26","20","213","129","235","169","133","65","51","147","28","146","207","2","49","75","154","236","105","38","14","78","240","163","244","9","53","199","217","186","159","223","210","172","229","144","41","232","24","112","162","0.0","0.0"
"6","131","202","58","162","162","197","210","172","184","110","60","2","151","31","121","180","175","142","145","39","195","168","127","3","246","235","250","227","26","20","213","129","235","169","133","65","51","147","28","146","207","2","49","75","154","236","105","38","14","78","240","163","244","9","53","199","217","186","159","223","210","172","229","144","41","232","24","112","162","9.75","9.75"
"7","131","202","58","162","162","197","210","172","184","110","60","2","151","31","121","180","175","142","145","39","195","168","127","3","246","235","250","106","26","20","213","129","235","169","133","65","51","147","28","146","207","2","49","75","154","236","105","38","14","78","240","163","244","9","53","199","217","186","159","223","210","172","229","144","41","232","24","112","162","0.0","0.0"
"8","131","202","58","162","162","197","210","172","184","110","60","2","151","31","121","180","175","142","145","39","195","168","127","3","246","235","250","227","26","20","213","129","235","169","133","65","51","147","28","146","207","2","49","75","154","236","105","38","14","78","240","163","244","9","53","199","217","186","159","223","210","172","229","144","41","232","24","112","162","32.5","32.5"
"9","131","202","58","162","162","197","210","172","184","110","60","2","151","31","121","180","154","142","145","39","195","168","127","3","246","235","250","227","26","20","213","129","235","169","133","65","51","147","28","146","207","2","49","75","154","236","105","38","14","78","240","163","244","9","53","199","217","186","159","223","210","172","229","144","41","232","24","112","162","64.0","64.0"
