"pop","locus_0","locus_1","locus_2","locus_3","locus_4","locus_5","locus_6","locus_7","locus_8","locus_9","locus_10","locus_11","locus_12","locus_13","locus_14","locus_15","locus_16","locus_17","locus_18","locus_19","locus_20","locus_21","locus_22","locus_23","locus_24","locus_25","locus_26","locus_27","locus_28","locus_29","locus_30","locus_31","locus_32","locus_33","locus_34","locus_35","locus_36","locus_37","locus_38","locus_39","locus_40","locus_41","locus_42","locus_43","locus_44","locus_45","locus_46","locus_47","locus_48","locus_49","locus_50","locus_51","locus_52","locus_53","locus_54","locus_55","locus_56","locus_57","locus_58","locus_59","locus_60","locus_61","locus_62","locus_63","locus_64","total_fit","trial_0_fit","trial_1_fit","trial_2_fit"
"0","239","128","224","172","191","213","3","197","100","128","43","244","33","62","49","21","45","144","212","51","133","61","117","203","67","62","162","179","223","73","51","40","27","41","49","247","48","244","158","207","13","223","28","1","131","116","224","148","82","241","191","134","138","83","44","212","152","140","227","58","149","195","242","235","40","10.166666666666666","0.0","0.0","30.5"
"1","239","128","224","172","191","213","3","197","100","128","43","244","33","62","49","21","45","144","212","51","133","61","117","203","67","62","162","179","223","73","51","40","27","41","49","247","48","244","158","207","13","223","28","1","131","116","224","148","82","241","191","134","138","83","44","212","152","140","227","58","149","195","242","235","40","0.5833333333333334","0.0","0.0","1.75"
"2","239","128","224","172","191","213","3","197","100","128","43","244","33","62","49","21","1","144","212","51","133","61","117","203","67","62","162","179","223","73","51","40","27","41","49","247","48","244","158","207","13","223","28","1","131","116","224","148","82","241","191","134","138","83","44","212","152","140","227","58","149","195","242","235","40","17.666666666666668","0.0","53.0","0.0"
"3","239","128","224","172","191","213","3","197","100","128","43","244","33","62","49","21","45","144","212","51","133","61","117","203","67","62","162","74","223","73","51","40","27","41","49","247","48","244","179","207","13","223","28","1","131","116","224","148","82","241","191","134","138","83","44","212","152","140","227","58","149","195","242","235","40","2.6666666666666665","0.0","2.5","5.5"
"4","239","128","224","172","191","213","3","197","100","128","43","244","33","62","49","21","45","144","212","51","133","61","117","203","67","62","162","179","223","73","51","40","27","41","49","247","48","244","158","207","13","223","28","1","131","116","224","148","82","241","191","134","138","83","44","212","152","140","227","58","149","195","242","235","40","43.166666666666664","0.0","129.5","0.0"
"5","82","13","62","17","30","32","140","195","57","230","209","42","186","28","229","59","81","216","144","178","250","42","152","189","13","75","214","221","218","91","176","91","31","91","242","237","201","77","113","29","149","200","156","207","228","222","252","42","67","194","78","54","177","123","45","20","120","85","46","134","197","102","172","112","168","84.83333333333333","138.25","58.75","57.5"
"6","82","13","62","17","30","32","140","195","57","230","209","42","186","28","229","59","81","216","144","178","250","42","152","189","13","75","214","221","218","91","176","91","31","91","242","237","201","77","113","29","149","200","156","207","228","222","108","42","67","194","78","54","177","123","45","20","120","85","46","134","197","102","172","112","168","5.75","0.0","0.0","17.25"
"7","82","13","62","17","30","32","140","195","57","230","209","42","186","28","229","59","81","216","144","178","250","42","152","189","13","75","214","221","16","91","56","91","31","91","242","237","201","77","113","29","149","200","156","207","228","222","252","42","67","194","78","54","177","123","45","20","120","85","46","134","197","102","172","112","168","64.16666666666667","115.0","77.5","0.0"
"8","82","13","62","17","30","32","140","195","57","166","209","42","186","28","229","59","81","216","144","178","250","42","152","189","13","75","214","221","218","91","176","91","31","91","242","237","201","77","113","29","149","200","156","207","228","222","252","42","67","194","78","152","177","123","45","20","120","85","46","134","197","102","172","112","168","0.0","0.0","0.0","0.0"
"9","82","13","62","108","30","32","140","195","57","230","209","42","186","28","229","59","81","216","144","178","250","42","152","189","13","75","214","221","218","91","176","91","31","91","242","237","201","77","113","29","149","200","156","207","228","222","252","42","67","194","78","54","177","123","45","20","120","85","46","134","197","102","172","112","168","100.41666666666667","89.5","211.75","0.0"
