"pop","locus_0","locus_1","locus_2","locus_3","locus_4","locus_5","locus_6","locus_7","locus_8","locus_9","locus_10","locus_11","locus_12","locus_13","locus_14","locus_15","locus_16","locus_17","locus_18","locus_19","locus_20","locus_21","locus_22","locus_23","locus_24","locus_25","locus_26","locus_27","locus_28","locus_29","locus_30","locus_31","locus_32","locus_33","locus_34","locus_35","locus_36","locus_37","locus_38","locus_39","locus_40","locus_41","locus_42","locus_43","locus_44","locus_45","locus_46","locus_47","locus_48","locus_49","locus_50","locus_51","locus_52","locus_53","locus_54","locus_55","locus_56","locus_57","locus_58","locus_59","locus_60","locus_61","locus_62","locus_63","locus_64","total_fit","trial_0_fit","trial_1_fit","trial_2_fit"
"0","107","104","94","227","55","121","232","98","114","199","23","46","158","244","246","207","86","133","10","145","94","60","196","73","189","47","207","204","153","109","113","156","240","50","232","74","224","6","188","233","184","130","13","0","197","201","200","34","45","244","7","78","55","123","145","253","49","232","172","184","220","202","242","88","91","0.0","0.0","0.0","0.0"
"1","107","104","94","227","55","121","232","98","114","199","23","46","158","244","246","207","86","133","10","145","94","60","196","73","189","47","207","204","153","109","113","156","240","50","232","74","224","6","188","233","184","130","13","0","197","201","200","34","45","244","7","78","55","123","145","253","49","103","172","184","220","202","242","88","91","72.66666666666667","119.0","99.0","0.0"
"2","107","104","94","227","55","121","232","98","114","199","23","46","158","244","246","207","86","133","10","145","94","60","196","73","189","47","207","204","153","109","113","8","240","50","232","74","224","6","188","233","184","130","13","0","197","201","200","34","45","244","7","222","55","123","145","253","49","103","172","184","220","202","242","88","91","14.0","42.0","0.0","0.0"
"3","107","104","94","227","55","121","232","98","114","199","23","46","158","244","246","207","86","138","10","145","94","60","196","73","189","47","207","204","153","109","113","156","240","50","232","74","224","6","188","233","184","130","13","0","197","201","200","34","45","244","7","78","55","214","145","253","49","103","172","184","220","202","242","88","91","51.833333333333336","0.0","155.5","0.0"
"4","107","104","94","227","55","121","232","98","114","199","23","46","158","244","246","207","86","133","10","145","94","60","196","73","189","47","207","204","153","109","113","156","240","50","232","74","224","6","188","233","184","130","13","0","197","201","200","34","45","244","7","78","55","123","145","253","49","103","172","184","220","202","242","88","91","42.166666666666664","0.0","126.5","0.0"
"5","7","104","94","227","55","121","232","98","114","199","23","46","158","244","246","207","86","133","10","145","94","60","196","73","189","47","207","204","153","109","113","156","240","50","232","74","224","6","188","215","184","130","13","0","233","201","200","34","45","226","7","78","55","123","145","253","49","204","172","184","220","202","242","88","91","0.0","0.0","0.0","0.0"
"6","7","104","94","227","55","121","232","98","114","199","23","46","158","244","246","207","86","133","10","145","94","60","196","73","189","47","207","204","153","109","113","156","240","50","232","74","224","6","188","233","184","130","13","0","233","201","200","34","45","226","7","78","55","123","145","253","49","204","172","184","220","202","242","88","91","0.0","0.0","0.0","0.0"
"7","7","104","94","227","55","121","232","98","7","199","23","46","158","244","246","207","86","133","10","145","94","60","196","73","189","47","207","204","153","109","113","156","240","50","232","74","224","6","188","233","184","130","13","0","233","201","200","34","45","226","7","78","55","123","145","253","49","204","172","184","220","202","242","88","91","0.0","0.0","0.0","0.0"
"8","7","104","94","227","55","121","232","98","114","199","23","46","158","244","246","207","86","133","10","145","94","60","196","73","189","47","207","204","153","109","113","156","240","50","232","74","224","6","188","233","184","130","13","0","233","201","200","34","45","226","7","78","55","123","145","253","49","204","172","184","220","202","242","88","91","0.0","0.0","0.0","0.0"
"9","7","104","94","227","55","121","232","98","114","199","23","46","66","244","246","207","86","133","10","145","94","60","196","73","189","47","207","204","153","109","113","156","240","50","188","74","224","6","188","233","184","130","13","0","233","201","200","34","45","226","7","78","55","123","145","253","49","204","172","184","220","202","242","88","91","0.0","0.0","0.0","0.0"
