"pop","locus_0","locus_1","locus_2","locus_3","locus_4","locus_5","locus_6","locus_7","locus_8","locus_9","locus_10","locus_11","locus_12","locus_13","locus_14","locus_15","locus_16","locus_17","locus_18","locus_19","locus_20","locus_21","locus_22","locus_23","locus_24","locus_25","locus_26","locus_27","locus_28","locus_29","locus_30","locus_31","locus_32","locus_33","locus_34","locus_35","locus_36","locus_37","locus_38","locus_39","locus_40","locus_41","locus_42","locus_43","locus_44","locus_45","locus_46","locus_47","locus_48","locus_49","locus_50","locus_51","locus_52","locus_53","locus_54","locus_55","locus_56","locus_57","locus_58","locus_59","locus_60","locus_61","locus_62","locus_63","locus_64","total_fit","trial_0_fit","trial_1_fit","trial_2_fit"
"0","250","148","1","162","4","61","200","207","237","252","245","45","232","118","145","194","38","230","116","70","151","91","131","55","210","250","185","43","91","195","89","68","98","91","199","53","106","223","128","40","118","188","130","41","32","148","141","250","82","222","86","53","55","187","117","92","95","143","73","191","49","44","215","26","213","116.41666666666667","156.5","192.75","0.0"
"1","250","148","1","162","4","61","200","207","237","252","245","45","232","118","145","194","38","230","116","70","151","91","131","55","210","250","185","43","91","195","89","68","98","91","199","53","106","223","128","40","118","188","130","41","32","148","141","250","82","222","86","53","55","187","117","92","95","143","73","191","49","44","215","26","213","67.08333333333333","16.25","98.75","86.25"
"2","250","148","1","162","4","61","200","207","237","252","245","45","232","118","145","194","38","230","116","70","151","91","131","55","210","250","185","43","91","195","89","68","98","91","199","53","106","223","128","40","118","188","130","41","32","148","141","250","82","222","86","53","55","187","117","92","95","143","73","191","49","44","215","26","213","132.58333333333334","116.25","0.0","281.5"
"3","250","148","1","162","4","61","16","207","237","38","245","45","232","118","145","194","38","230","116","70","151","91","131","55","210","250","185","43","242","195","89","68","98","91","199","53","106","223","128","40","118","188","130","41","32","148","141","250","238","222","86","53","55","187","117","92","95","143","73","191","49","44","215","26","213","46.666666666666664","0.0","140.0","0.0"
"4","250","148","1","162","4","61","200","207","237","252","245","45","232","118","145","194","38","230","116","70","151","91","131","55","210","250","185","43","91","195","89","68","98","91","199","53","106","223","128","40","118","230","130","41","32","148","141","250","82","222","86","53","18","187","117","92","75","143","73","191","49","44","215","232","213","11.416666666666666","34.25","0.0","0.0"
"5","176","168","170","22","160","139","95","246","15","124","71","33","20","46","225","202","189","54","207","230","32","33","51","191","47","38","165","220","11","68","222","254","147","106","148","121","84","74","2","98","215","137","70","69","99","98","240","227","198","31","172","184","218","62","23","161","240","235","236","84","147","177","56","251","1","32.666666666666664","57.5","29.0","11.5"
"6","176","168","170","22","160","139","95","246","15","174","71","33","20","46","225","202","189","54","207","230","32","33","51","191","47","38","165","220","11","68","222","254","147","106","148","121","84","74","2","98","215","137","70","147","99","98","240","227","198","31","172","184","218","62","23","161","240","235","236","84","147","177","56","251","1","198.0","0.0","430.5","163.5"
"7","176","168","170","22","160","139","95","246","15","174","71","33","20","46","225","202","189","54","207","230","32","33","51","191","47","38","165","220","11","68","222","254","147","106","148","121","84","74","2","98","215","137","70","69","99","98","240","227","198","31","172","184","218","62","23","161","240","235","236","84","147","177","56","251","226","116.75","241.75","91.75","16.75"
"8","176","168","170","22","160","139","95","246","15","174","71","33","20","46","225","202","189","54","207","230","32","33","51","191","47","38","165","220","11","68","222","254","147","106","148","121","84","74","2","98","215","137","70","69","99","98","240","227","198","31","172","184","218","62","23","161","240","235","236","84","147","139","56","251","1","83.41666666666667","233.25","17.0","0.0"
"9","176","168","170","22","160","139","95","246","15","174","71","33","20","46","225","202","189","54","207","230","32","33","51","191","47","38","165","220","11","68","222","254","147","106","148","121","84","74","2","98","215","137","70","69","99","98","240","227","198","31","172","184","218","62","23","161","240","235","236","84","147","177","56","251","1","14.666666666666666","44.0","0.0","0.0"
