"pop","locus_0","locus_1","locus_2","locus_3","locus_4","locus_5","locus_6","locus_7","locus_8","locus_9","locus_10","locus_11","locus_12","locus_13","locus_14","locus_15","locus_16","locus_17","locus_18","locus_19","locus_20","locus_21","locus_22","locus_23","locus_24","locus_25","locus_26","locus_27","locus_28","locus_29","locus_30","locus_31","locus_32","locus_33","locus_34","locus_35","locus_36","locus_37","locus_38","locus_39","locus_40","locus_41","locus_42","locus_43","locus_44","locus_45","locus_46","locus_47","locus_48","locus_49","locus_50","locus_51","locus_52","locus_53","locus_54","locus_55","locus_56","locus_57","locus_58","locus_59","locus_60","locus_61","locus_62","locus_63","locus_64","locus_65","locus_66","locus_67","locus_68","total_fit","trial_0_fit","trial_1_fit","trial_2_fit"
"0","118","19","212","110","49","100","29","213","195","216","240","219","206","214","37","90","211","104","169","60","181","78","234","214","215","225","217","37","3","131","66","142","188","3","218","162","106","190","147","156","17","79","156","220","127","42","236","66","3","93","165","236","105","237","166","170","83","177","92","109","172","6","163","224","225","9","26","16","120","0.0","0.0","0.0","0.0"
"1","12","76","211","140","106","170","101","246","108","38","175","123","121","45","223","0","79","70","130","77","14","19","27","70","118","150","144","64","250","51","90","37","151","225","163","21","61","226","212","84","159","5","223","213","60","49","83","44","69","42","90","99","138","37","138","149","182","99","210","109","108","233","53","3","176","176","76","171","6","0.0","0.0","0.0","0.0"
"2","17","205","221","165","137","211","215","232","21","71","84","160","108","51","137","112","149","15","47","214","246","111","249","34","169","234","120","217","9","222","43","239","48","167","14","38","135","183","205","147","151","19","52","19","87","137","81","146","86","204","26","119","206","44","182","181","111","240","28","196","119","75","95","106","151","139","145","30","84","0.0","0.0","0.0","0.0"
"3","20","77","61","152","84","23","70","209","85","176","148","13","2","34","105","96","168","66","252","126","36","128","54","167","19","32","195","0","112","171","36","240","69","248","0","30","185","201","233","32","232","82","22","97","13","155","184","40","31","138","1","35","103","225","40","137","94","37","206","240","35","221","122","46","14","227","243","112","191","2.6666666666666665","0.0","8.0","0.0"
"4","195","59","89","228","191","179","144","240","20","121","202","150","205","157","65","152","115","242","154","25","0","180","176","142","225","42","95","90","116","247","14","172","184","102","73","163","199","218","124","0","177","157","100","40","144","250","197","208","222","111","76","55","143","195","174","252","144","141","224","205","126","8","145","254","222","200","113","148","153","0.0","0.0","0.0","0.0"
"5","201","73","215","123","28","0","40","65","219","59","208","119","67","154","45","90","82","183","48","76","137","241","48","5","140","80","22","190","24","199","105","194","191","96","63","226","55","200","97","23","130","79","169","18","174","20","137","88","181","195","170","175","56","238","47","111","108","204","89","102","51","35","130","169","84","137","147","140","136","0.0","0.0","0.0","0.0"
"6","6","52","82","199","29","254","52","239","95","235","75","96","156","11","219","40","181","42","225","51","66","16","149","76","242","180","235","242","18","182","196","114","140","175","177","78","119","6","144","150","144","122","29","63","126","45","60","127","184","28","49","60","207","129","176","60","85","13","172","75","175","15","75","155","181","27","138","21","20","43.5","130.5","0.0","0.0"
"7","5","92","132","46","212","242","146","14","242","162","79","134","66","232","13","213","65","119","251","128","161","150","38","245","52","182","60","177","184","17","93","119","58","203","65","197","58","47","103","108","108","153","113","13","118","141","34","210","84","114","74","104","232","52","245","39","2","68","116","106","166","125","107","33","19","192","30","224","134","33.333333333333336","98.5","0.0","1.5"
"8","188","240","27","60","240","212","189","132","42","120","101","205","253","1","202","94","130","153","76","43","104","190","238","61","68","193","125","79","50","246","106","172","81","64","0","97","144","123","54","69","183","70","64","237","97","183","60","214","209","233","66","49","121","252","251","252","27","244","89","88","147","248","8","131","76","158","37","25","55","65.5","196.5","0.0","0.0"
"9","133","27","1","179","114","216","54","155","158","213","168","114","189","127","135","216","60","94","109","99","81","117","175","233","206","30","19","221","221","244","29","22","99","37","238","56","137","233","125","114","226","92","179","121","164","175","227","55","26","133","128","43","118","147","8","108","58","139","198","93","92","143","50","88","169","138","20","179","229","0.0","0.0","0.0","0.0"
