"pop","locus_0","locus_1","locus_2","locus_3","locus_4","locus_5","locus_6","locus_7","locus_8","locus_9","locus_10","locus_11","locus_12","locus_13","locus_14","locus_15","locus_16","locus_17","locus_18","locus_19","locus_20","locus_21","locus_22","locus_23","locus_24","locus_25","locus_26","locus_27","locus_28","locus_29","locus_30","locus_31","locus_32","locus_33","locus_34","locus_35","locus_36","locus_37","locus_38","locus_39","locus_40","locus_41","locus_42","locus_43","locus_44","locus_45","locus_46","locus_47","locus_48","locus_49","locus_50","locus_51","locus_52","locus_53","locus_54","locus_55","locus_56","locus_57","locus_58","locus_59","locus_60","locus_61","locus_62","locus_63","locus_64","locus_65","locus_66","locus_67","locus_68","total_fit","trial_0_fit","trial_1_fit","trial_2_fit"
"0","79","99","241","26","124","143","10","18","100","25","206","180","214","97","114","199","37","207","204","61","98","79","79","76","240","106","176","35","112","250","159","59","64","32","136","218","197","230","105","64","18","158","74","140","200","126","215","239","137","173","170","110","210","192","239","178","171","166","32","17","231","8","15","141","0","168","200","152","40","0.0","0.0","0.0","0.0"
"1","79","99","241","26","124","143","10","18","100","25","206","180","214","97","114","164","37","207","204","61","98","79","83","76","240","106","176","35","112","250","159","59","64","32","136","218","197","230","105","64","18","158","74","160","200","126","215","239","137","173","170","110","210","192","216","178","171","166","32","17","231","8","15","141","0","168","200","152","40","0.0","0.0","0.0","0.0"
"2","79","100","241","26","124","143","10","18","100","25","206","180","214","97","114","199","37","207","204","61","98","79","79","76","240","106","176","35","112","250","159","59","64","32","136","218","197","230","105","64","18","158","74","140","200","126","215","239","137","173","170","110","210","192","139","178","171","166","32","17","231","8","15","141","0","168","200","152","40","0.0","0.0","0.0","0.0"
"3","79","99","241","26","124","143","10","18","100","25","206","180","214","97","114","199","37","207","204","61","98","79","79","76","240","106","176","35","112","250","159","59","64","32","136","218","197","230","105","64","18","158","74","140","200","126","215","239","137","173","170","110","210","192","239","178","171","166","32","17","231","8","15","141","0","168","200","152","40","0.0","0.0","0.0","0.0"
"4","79","99","241","26","124","143","10","18","145","25","206","180","214","97","114","75","37","207","204","61","98","79","79","76","240","106","176","35","112","250","159","59","64","32","136","218","197","230","105","64","18","158","74","140","200","126","215","239","137","173","170","110","210","192","239","178","171","166","32","17","231","8","15","141","0","168","200","152","40","65.5","0.0","196.5","0.0"
"5","176","168","38","22","160","139","95","246","15","174","71","33","20","46","225","202","189","54","207","230","32","33","51","191","47","38","165","220","11","68","222","254","147","106","148","121","84","74","2","98","215","137","70","69","99","98","240","227","198","31","172","184","218","62","23","161","240","235","236","84","168","126","189","147","177","56","251","1","248","54.75","149.5","0.0","14.75"
"6","176","168","70","22","160","139","95","246","15","174","71","33","20","46","225","202","189","54","207","230","32","33","51","191","47","38","165","220","11","22","222","254","147","5","148","121","217","74","2","98","215","137","70","69","99","98","240","227","198","31","172","184","218","62","23","161","240","235","236","84","168","126","189","147","177","56","251","1","248","98.5","0.0","191.25","104.25"
"7","176","168","170","22","160","139","95","246","15","174","71","33","20","46","225","202","189","54","207","230","32","33","51","191","47","38","165","220","11","68","222","254","147","106","148","121","84","74","2","98","215","137","70","69","99","98","240","227","198","31","172","184","218","62","23","161","240","235","236","84","168","126","189","147","177","56","251","1","248","72.66666666666667","12.0","0.0","206.0"
"8","176","168","170","22","160","139","95","246","15","174","71","33","20","46","225","202","189","54","207","230","32","33","51","191","47","38","165","220","11","68","222","254","147","106","148","121","84","74","2","98","38","137","70","69","99","98","240","227","198","31","172","184","218","62","23","161","240","235","236","84","168","126","189","147","177","56","251","1","248","24.583333333333332","0.0","7.0","66.75"
"9","176","168","170","22","160","139","124","246","15","174","71","33","20","46","225","202","189","54","207","230","32","33","51","191","47","38","165","220","11","68","222","254","147","106","148","121","84","74","2","98","215","137","70","69","99","98","240","227","198","31","172","184","218","62","23","161","240","235","236","84","168","126","189","147","177","56","251","1","248","248.83333333333334","78.5","247.75","420.25"
