"pop","locus_0","locus_1","locus_2","locus_3","locus_4","locus_5","locus_6","locus_7","locus_8","locus_9","locus_10","locus_11","locus_12","locus_13","locus_14","locus_15","locus_16","locus_17","locus_18","locus_19","locus_20","locus_21","locus_22","locus_23","locus_24","locus_25","locus_26","locus_27","locus_28","locus_29","locus_30","locus_31","locus_32","locus_33","locus_34","locus_35","locus_36","locus_37","locus_38","locus_39","locus_40","locus_41","locus_42","locus_43","locus_44","locus_45","locus_46","locus_47","locus_48","locus_49","locus_50","locus_51","locus_52","locus_53","locus_54","locus_55","locus_56","locus_57","locus_58","locus_59","locus_60","locus_61","locus_62","locus_63","locus_64","total_fit","trial_0_fit","trial_1_fit","trial_2_fit"
"0","176","168","170","22","160","139","71","246","15","174","71","33","20","46","225","202","189","54","207","230","32","33","51","191","47","38","165","220","11","68","222","254","147","106","148","121","84","74","2","98","215","137","70","69","99","98","240","227","198","31","172","184","218","62","23","161","240","235","236","84","147","177","56","251","1","61.0","27.5","0.0","155.5"
"1","176","168","170","22","160","139","95","246","15","174","71","33","20","46","225","202","189","54","207","230","32","33","51","191","47","38","165","220","11","68","222","254","147","106","148","121","84","74","2","98","215","137","70","69","99","98","240","227","198","31","172","184","218","62","23","161","240","235","236","84","147","177","56","251","1","58.5","175.5","0.0","0.0"
"2","176","168","170","22","160","139","95","246","15","174","71","33","20","46","225","202","189","54","207","230","32","33","51","191","47","38","165","220","11","68","222","254","147","106","148","121","84","74","2","98","215","137","70","69","99","98","240","225","198","31","172","184","218","62","23","161","240","235","236","84","147","177","56","251","1","126.41666666666667","131.75","207.0","40.5"
"3","176","168","170","22","160","139","95","246","15","174","71","33","20","46","225","202","189","54","207","230","32","33","51","191","47","38","165","220","11","68","222","254","147","106","148","121","84","74","2","98","215","137","70","69","99","98","240","227","198","31","172","184","175","62","23","161","240","235","236","84","147","177","56","251","1","0.0","0.0","0.0","0.0"
"4","176","168","170","22","160","139","95","246","15","174","71","33","20","46","225","202","189","54","207","230","32","33","51","191","47","38","165","220","11","68","222","3","147","106","148","121","84","74","2","98","215","137","70","69","99","98","240","227","198","31","172","184","218","62","23","161","240","235","236","84","147","177","56","251","1","100.33333333333333","228.25","0.0","72.75"
"5","233","63","168","86","51","151","86","198","17","100","165","36","71","255","222","2","15","12","35","78","24","8","16","135","221","241","227","210","67","103","37","183","165","1","74","239","197","238","63","100","235","52","225","206","237","34","213","219","43","174","75","220","8","243","38","113","109","5","65","80","111","210","199","211","222","82.41666666666667","0.0","247.25","0.0"
"6","233","63","168","86","51","151","86","198","17","100","165","36","71","228","222","2","15","12","35","78","24","8","16","135","221","241","227","210","67","103","37","183","165","1","74","239","240","238","63","100","235","52","225","206","237","34","213","219","43","174","75","220","8","243","38","113","109","5","65","80","111","210","199","211","222","0.0","0.0","0.0","0.0"
"7","233","63","168","86","51","151","86","198","17","100","165","36","71","228","222","2","15","12","35","78","24","8","16","135","221","241","227","210","67","103","37","183","165","1","74","239","240","238","63","100","235","52","225","206","237","34","213","219","43","174","75","220","8","243","38","113","109","5","65","80","111","210","199","211","222","0.0","0.0","0.0","0.0"
"8","233","63","168","86","51","151","86","198","17","100","165","36","71","228","222","2","15","12","35","78","24","8","16","135","221","241","227","210","67","103","37","183","165","1","74","239","240","238","63","100","235","52","225","206","237","34","213","219","43","174","75","220","8","243","38","113","109","5","65","80","111","210","148","211","222","0.0","0.0","0.0","0.0"
"9","233","63","168","86","51","151","86","198","17","100","165","36","71","228","222","2","15","12","35","78","24","8","16","135","221","241","227","210","67","103","37","183","165","1","74","239","240","238","63","100","235","52","225","206","237","34","213","219","43","174","75","220","8","243","38","113","109","5","65","80","111","210","199","211","222","0.0","0.0","0.0","0.0"
