"pop","locus_0","locus_1","locus_2","locus_3","locus_4","locus_5","locus_6","locus_7","locus_8","locus_9","locus_10","locus_11","locus_12","locus_13","locus_14","locus_15","locus_16","locus_17","locus_18","locus_19","locus_20","locus_21","locus_22","locus_23","locus_24","locus_25","locus_26","locus_27","locus_28","locus_29","locus_30","locus_31","locus_32","locus_33","locus_34","locus_35","locus_36","locus_37","locus_38","locus_39","locus_40","locus_41","locus_42","locus_43","locus_44","locus_45","locus_46","locus_47","locus_48","locus_49","locus_50","locus_51","locus_52","locus_53","locus_54","locus_55","locus_56","locus_57","locus_58","locus_59","locus_60","locus_61","locus_62","locus_63","locus_64","locus_65","locus_66","locus_67","locus_68","total_fit","trial_0_fit"
"0","85","222","158","178","240","146","115","186","253","228","80","102","94","93","162","53","45","245","167","207","95","138","12","186","249","78","162","210","154","87","4","43","87","11","18","47","43","120","111","49","105","15","124","12","210","105","84","159","65","163","255","105","118","35","1","203","89","250","106","183","161","111","122","229","207","198","153","17","3","141.5","141.5"
"1","85","222","158","178","240","146","129","186","253","228","80","102","94","95","162","53","45","245","167","207","95","138","12","186","249","78","162","210","154","87","4","221","87","11","18","47","43","120","111","49","105","15","124","12","210","105","84","159","65","163","255","105","118","35","1","203","89","250","106","183","161","111","122","229","207","198","153","17","3","28.5","28.5"
"2","170","222","158","178","240","146","129","186","253","228","80","102","94","93","162","53","45","245","167","207","95","138","12","186","249","78","162","210","154","87","4","43","87","11","18","47","43","120","111","49","105","15","124","12","210","105","84","159","65","163","255","105","118","35","1","203","89","250","106","183","161","79","122","229","207","198","153","17","3","127.5","127.5"
"3","85","222","158","178","240","146","129","186","253","228","80","102","94","93","162","53","45","245","167","207","95","138","12","186","249","78","162","210","154","87","4","43","87","11","18","47","43","120","111","49","105","15","124","12","210","105","84","159","65","163","255","105","118","35","1","203","89","250","106","183","39","111","122","229","207","198","153","17","3","163.0","163.0"
"4","85","222","158","178","240","146","129","186","253","228","80","102","94","93","162","53","45","245","167","207","95","138","12","186","249","78","162","210","154","87","4","43","87","11","18","47","43","120","111","49","105","15","124","12","210","105","84","159","65","163","255","105","118","35","1","203","89","250","106","183","161","111","122","229","207","198","153","17","3","167.0","167.0"
"5","87","55","182","159","253","24","6","184","244","110","21","121","193","50","100","229","180","57","191","121","108","207","108","164","185","118","87","128","102","13","192","82","32","21","157","213","15","5","161","148","71","230","253","16","156","235","184","77","227","23","13","25","11","129","115","230","1","22","134","239","13","178","45","69","73","236","93","29","47","44.5","44.5"
"6","87","55","182","159","253","24","6","184","244","110","21","121","69","50","100","229","180","57","191","121","108","207","108","164","185","118","87","128","102","13","192","82","32","21","157","213","15","5","161","148","71","230","253","16","156","235","184","77","227","23","13","25","11","129","115","230","1","22","134","239","13","178","45","69","73","236","93","29","47","0.0","0.0"
"7","87","55","182","159","253","24","6","184","244","110","21","121","69","50","100","229","180","57","191","121","108","207","108","164","185","118","87","128","102","13","192","82","0","21","157","213","15","5","161","148","71","230","253","16","156","235","184","77","227","23","13","25","11","129","115","230","1","22","134","239","13","178","45","69","73","236","93","29","47","0.0","0.0"
"8","87","55","182","159","253","24","6","184","244","110","21","121","69","50","100","229","180","57","191","121","108","207","108","164","185","118","87","128","102","13","192","82","32","239","225","213","15","5","161","148","71","230","253","16","156","235","184","77","227","23","13","25","11","129","115","230","1","22","134","239","13","178","45","69","73","236","93","29","47","8.0","8.0"
"9","87","55","174","159","253","24","6","184","244","110","21","209","69","50","100","229","180","57","191","121","108","207","108","164","185","118","87","128","102","13","192","82","32","21","157","213","15","5","161","148","71","230","253","16","156","235","184","77","227","23","13","25","36","129","115","230","1","22","245","239","13","178","45","69","73","236","93","29","47","0.0","0.0"
