"pop","locus_0","locus_1","locus_2","locus_3","locus_4","locus_5","locus_6","locus_7","locus_8","locus_9","locus_10","locus_11","locus_12","locus_13","locus_14","locus_15","locus_16","locus_17","locus_18","locus_19","locus_20","locus_21","locus_22","locus_23","locus_24","locus_25","locus_26","locus_27","locus_28","locus_29","locus_30","locus_31","locus_32","locus_33","locus_34","locus_35","locus_36","locus_37","locus_38","locus_39","locus_40","locus_41","locus_42","locus_43","locus_44","locus_45","locus_46","locus_47","locus_48","locus_49","locus_50","locus_51","locus_52","locus_53","locus_54","locus_55","locus_56","locus_57","locus_58","locus_59","locus_60","locus_61","locus_62","locus_63","locus_64","total_fit","trial_0_fit","trial_1_fit","trial_2_fit"
"0","20","77","61","152","84","23","70","209","85","176","148","13","2","34","105","96","168","66","252","126","36","128","54","167","19","32","195","0","112","171","36","240","69","248","0","30","185","201","233","32","232","82","22","97","13","155","184","40","31","138","1","35","103","225","40","137","94","37","206","240","46","14","227","243","112","73.91666666666667","59.0","124.5","38.25"
"1","20","77","61","152","84","23","70","209","85","176","148","13","2","34","105","96","168","66","252","126","36","128","54","167","19","32","195","0","112","171","36","240","69","248","0","30","185","201","233","32","232","82","22","97","13","155","184","40","31","138","1","35","103","225","40","137","94","37","206","240","46","14","227","243","112","76.33333333333333","70.5","0.0","158.5"
"2","20","77","61","152","84","23","70","209","85","176","148","13","2","34","105","96","168","66","252","80","36","128","54","167","19","93","195","0","112","171","36","240","69","248","0","30","185","201","233","136","232","82","22","97","13","155","184","40","31","138","1","35","103","225","40","137","94","37","206","240","46","14","227","243","112","27.0","24.5","41.0","15.5"
"3","20","77","61","152","84","23","70","209","85","176","148","13","2","34","105","96","61","66","252","126","36","128","54","167","19","32","195","0","112","171","36","240","69","248","0","30","185","201","233","32","232","82","22","97","13","155","184","40","31","138","1","35","103","225","40","137","94","37","206","240","46","14","227","243","112","3.8333333333333335","0.0","0.0","11.5"
"4","20","77","61","152","84","23","70","209","85","176","148","13","2","34","105","96","168","66","147","126","36","128","54","167","19","32","195","0","112","171","36","240","69","248","0","30","185","201","233","32","232","82","22","97","13","155","184","40","31","138","1","35","103","225","40","137","94","37","206","240","46","14","227","243","112","0.0","0.0","0.0","0.0"
"5","133","27","1","179","114","216","54","155","158","213","168","114","189","127","192","216","60","123","109","99","81","117","175","233","206","30","19","221","221","244","29","22","99","37","238","56","137","233","125","114","226","92","179","121","164","175","227","55","26","133","128","43","118","201","8","108","58","139","198","93","88","169","138","20","179","73.5","220.5","0.0","0.0"
"6","133","27","1","179","114","216","142","155","158","213","168","114","189","127","135","216","60","94","251","99","81","117","175","233","206","30","19","221","221","244","29","22","99","37","238","56","137","233","125","114","226","92","179","121","164","175","227","55","26","133","128","43","118","147","8","108","58","139","198","93","88","169","138","20","179","0.0","0.0","0.0","0.0"
"7","133","27","1","179","114","216","54","155","158","213","168","114","189","127","135","216","60","94","109","99","81","117","175","233","206","30","19","221","221","244","29","22","99","37","238","56","137","233","125","114","226","92","179","121","164","175","227","55","26","133","128","43","40","147","8","108","58","139","198","93","88","169","138","20","179","7.5","0.0","22.5","0.0"
"8","133","27","1","179","114","216","54","155","158","213","168","114","189","127","135","216","60","94","109","99","81","117","175","233","206","30","19","221","221","244","29","22","99","37","238","56","137","233","125","114","226","92","179","121","164","175","227","55","26","133","128","43","118","147","8","108","58","139","198","93","88","169","138","20","179","51.75","0.0","155.25","0.0"
"9","133","27","1","179","114","216","54","155","158","213","168","114","189","127","135","216","60","94","109","99","140","117","175","233","206","30","19","221","221","244","29","22","99","37","238","56","137","233","125","114","226","229","179","121","164","175","227","55","26","133","128","43","118","147","8","108","58","139","198","93","88","169","138","20","179","155.83333333333334","0.0","197.5","270.0"
