"pop","locus_0","locus_1","locus_2","locus_3","locus_4","locus_5","locus_6","locus_7","locus_8","locus_9","locus_10","locus_11","locus_12","locus_13","locus_14","locus_15","locus_16","locus_17","locus_18","locus_19","locus_20","locus_21","locus_22","locus_23","locus_24","locus_25","locus_26","locus_27","locus_28","locus_29","locus_30","locus_31","locus_32","locus_33","locus_34","locus_35","locus_36","locus_37","locus_38","locus_39","locus_40","locus_41","locus_42","locus_43","locus_44","locus_45","locus_46","locus_47","locus_48","locus_49","locus_50","locus_51","locus_52","locus_53","locus_54","locus_55","locus_56","locus_57","locus_58","locus_59","locus_60","locus_61","locus_62","locus_63","locus_64","total_fit","trial_0_fit","trial_1_fit","trial_2_fit"
"0","5","92","132","46","212","242","146","14","242","162","79","134","66","232","13","213","65","119","7","128","161","150","38","245","52","182","60","177","184","17","93","119","58","203","65","197","58","47","103","108","108","153","113","13","118","141","34","210","84","114","74","104","232","52","245","39","2","68","116","106","33","19","192","30","224","0.0","0.0","0.0","0.0"
"1","5","92","132","46","212","242","146","14","242","162","79","134","66","232","13","213","65","119","251","128","161","150","38","245","52","182","60","177","184","17","93","119","58","203","65","197","58","47","103","108","108","153","113","13","118","141","34","210","84","114","74","104","232","52","245","39","2","68","116","106","33","19","192","30","224","12.166666666666666","36.5","0.0","0.0"
"2","5","92","132","46","212","242","146","14","242","162","79","134","66","232","13","213","65","119","251","128","161","150","38","245","52","156","60","177","184","17","93","119","58","203","65","197","58","47","103","108","108","153","113","13","118","141","34","210","84","114","74","104","232","52","162","39","2","68","116","106","33","19","192","30","224","0.0","0.0","0.0","0.0"
"3","5","92","132","46","212","242","146","14","242","162","79","134","66","232","13","213","65","119","251","128","161","55","38","245","52","182","60","177","184","17","93","119","58","203","65","197","58","74","103","108","108","153","113","13","118","141","34","210","84","114","74","104","232","52","245","39","2","68","116","106","33","19","192","30","224","156.16666666666666","0.0","0.0","468.5"
"4","5","92","132","46","212","242","146","14","242","162","79","134","66","232","13","213","65","119","251","128","161","150","38","245","52","182","60","177","184","17","93","119","58","203","65","197","58","47","103","108","210","153","113","13","118","141","34","210","84","114","74","104","232","52","245","39","2","68","116","106","33","19","192","30","224","10.75","26.75","0.0","5.5"
"5","17","205","221","165","253","211","215","232","21","71","84","160","108","51","137","112","181","15","47","214","246","111","249","34","169","234","120","88","9","222","43","239","48","167","14","38","135","183","205","147","151","19","52","19","87","137","81","146","86","204","26","119","206","44","182","181","111","240","28","196","106","151","139","145","30","30.083333333333332","0.0","0.0","90.25"
"6","17","205","221","165","137","211","215","232","21","71","84","160","108","51","137","112","149","15","47","214","246","111","249","34","169","234","120","217","9","222","43","239","48","167","14","38","135","183","205","147","151","19","52","19","87","137","81","146","86","139","26","119","206","44","182","181","111","240","28","196","106","151","139","145","30","0.0","0.0","0.0","0.0"
"7","17","205","221","165","137","211","215","232","21","71","84","160","108","51","137","112","149","15","47","214","246","111","249","34","169","234","120","217","9","222","43","239","48","167","14","38","135","183","205","147","151","19","52","19","87","137","81","146","86","204","26","119","206","44","182","181","111","240","28","196","106","133","139","145","30","76.83333333333333","7.25","223.25","0.0"
"8","17","205","221","165","137","211","215","232","21","71","84","160","108","51","137","112","149","15","47","214","246","111","249","34","169","234","120","217","9","222","43","150","48","167","14","38","135","183","205","147","151","19","52","19","87","137","81","146","86","204","26","119","206","44","182","181","111","240","28","196","106","151","139","145","30","0.0","0.0","0.0","0.0"
"9","17","205","221","165","137","211","215","232","21","71","84","160","108","51","137","112","149","15","47","214","246","111","249","34","169","234","120","217","9","222","43","239","48","167","14","38","135","183","205","147","151","19","52","19","87","69","81","146","86","204","26","119","206","44","182","181","111","240","28","196","106","151","139","145","30","4.083333333333333","0.0","12.25","0.0"
