"pop","locus_0","locus_1","locus_2","locus_3","locus_4","locus_5","locus_6","locus_7","locus_8","locus_9","locus_10","locus_11","locus_12","locus_13","locus_14","locus_15","locus_16","locus_17","locus_18","locus_19","locus_20","locus_21","locus_22","locus_23","locus_24","locus_25","locus_26","locus_27","locus_28","locus_29","locus_30","locus_31","locus_32","locus_33","locus_34","locus_35","locus_36","locus_37","locus_38","locus_39","locus_40","locus_41","locus_42","locus_43","locus_44","locus_45","locus_46","locus_47","locus_48","locus_49","locus_50","locus_51","locus_52","locus_53","locus_54","locus_55","locus_56","locus_57","locus_58","locus_59","locus_60","locus_61","locus_62","locus_63","locus_64","locus_65","locus_66","locus_67","locus_68","total_fit","trial_0_fit","trial_1_fit","trial_2_fit","trial_3_fit","trial_4_fit","trial_5_fit","trial_6_fit","trial_7_fit","trial_8_fit","trial_9_fit"
"0","90","136","122","110","104","121","233","207","11","129","150","92","88","108","183","72","179","140","97","115","26","171","77","207","215","195","29","96","199","206","174","26","224","77","51","203","102","65","228","132","2","168","246","60","147","215","56","158","166","134","29","207","246","106","170","77","165","119","129","26","51","145","124","60","240","241","7","180","29","95.525","75.75","89.0","292.25","93.5","72.5","55.25","39.25","100.0","92.5","45.25"
"1","90","136","122","110","104","121","233","207","11","129","150","92","88","108","183","72","179","140","97","115","26","171","77","207","215","195","29","96","199","206","174","26","224","77","51","203","102","65","228","132","2","168","246","60","147","215","56","158","166","134","215","207","246","106","170","77","165","119","129","26","51","145","124","60","240","241","7","180","29","82.25","23.0","172.75","39.0","85.75","113.5","76.75","25.75","76.25","130.5","79.25"
"2","83","228","195","19","220","185","245","47","46","163","18","26","6","6","83","180","39","141","125","226","96","64","49","83","114","159","38","59","131","76","82","246","50","239","23","248","198","202","115","231","106","27","104","69","51","120","154","216","8","67","208","109","110","27","139","196","52","155","250","143","252","158","89","26","137","241","16","101","39","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"3","83","228","195","19","220","185","189","47","46","163","18","26","6","6","83","112","39","141","125","226","96","64","49","83","114","159","38","59","131","76","82","246","50","239","23","248","198","202","115","231","106","27","104","69","51","120","154","216","8","67","208","109","110","27","139","196","52","155","250","143","252","158","89","26","137","241","16","101","39","17.875","0.0","0.0","12.0","7.5","0.0","62.75","96.5","0.0","0.0","0.0"
