"pop","locus_0","locus_1","locus_2","locus_3","locus_4","locus_5","locus_6","locus_7","locus_8","locus_9","locus_10","locus_11","locus_12","locus_13","locus_14","locus_15","locus_16","locus_17","locus_18","locus_19","locus_20","locus_21","locus_22","locus_23","locus_24","locus_25","locus_26","locus_27","locus_28","locus_29","locus_30","locus_31","locus_32","locus_33","locus_34","locus_35","locus_36","locus_37","locus_38","locus_39","locus_40","locus_41","locus_42","locus_43","locus_44","locus_45","locus_46","locus_47","locus_48","locus_49","locus_50","locus_51","locus_52","locus_53","locus_54","locus_55","locus_56","locus_57","locus_58","locus_59","locus_60","locus_61","locus_62","locus_63","locus_64","locus_65","locus_66","locus_67","locus_68","total_fit","trial_0_fit","trial_1_fit","trial_2_fit","trial_3_fit","trial_4_fit","trial_5_fit","trial_6_fit","trial_7_fit","trial_8_fit","trial_9_fit"
"0","92","49","78","207","197","189","251","145","91","201","70","235","155","124","74","105","62","213","214","253","49","248","107","20","142","35","188","22","229","49","204","153","60","94","204","57","61","231","58","172","151","134","138","123","16","25","126","207","80","168","136","15","115","140","80","193","206","185","184","203","238","132","174","239","241","107","200","203","60","67.475","78.5","78.25","86.0","74.75","73.5","93.25","15.5","91.0","67.0","17.0"
"1","142","27","141","156","127","200","137","215","93","241","147","59","53","249","176","173","128","113","71","7","15","251","149","181","104","47","55","72","194","221","150","76","162","176","67","157","244","211","159","200","64","119","73","6","209","40","49","65","62","53","102","197","109","123","198","206","12","48","251","240","1","14","251","167","183","128","211","75","38","16.75","0.0","0.0","0.0","0.0","0.0","0.0","0.0","63.0","104.5","0.0"
"2","109","6","25","215","146","123","102","205","21","122","49","9","70","88","109","251","211","185","139","102","95","224","51","241","120","205","190","133","103","141","79","244","80","73","196","54","118","174","194","10","34","95","253","22","109","26","22","209","103","109","58","169","45","170","76","123","108","235","34","19","237","33","140","93","7","131","193","116","110","11.3","45.25","67.75","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"3","238","132","8","43","163","19","219","84","45","208","137","101","26","225","3","51","61","118","76","151","244","206","61","119","224","32","48","138","225","181","242","113","26","119","200","10","91","78","115","128","40","248","86","72","62","163","158","234","189","116","51","1","253","164","184","234","99","111","27","60","242","118","220","162","16","144","38","105","118","9.2","182.0","-207.75","87.75","0.0","30.0","0.0","0.0","0.0","0.0","0.0"
