"pop","locus_0","locus_1","locus_2","locus_3","locus_4","locus_5","locus_6","locus_7","locus_8","locus_9","locus_10","locus_11","locus_12","locus_13","locus_14","locus_15","locus_16","locus_17","locus_18","locus_19","locus_20","locus_21","locus_22","locus_23","locus_24","locus_25","locus_26","locus_27","locus_28","locus_29","locus_30","locus_31","locus_32","locus_33","locus_34","locus_35","locus_36","locus_37","locus_38","locus_39","locus_40","locus_41","locus_42","locus_43","locus_44","locus_45","locus_46","locus_47","locus_48","locus_49","locus_50","locus_51","locus_52","locus_53","locus_54","locus_55","locus_56","locus_57","locus_58","locus_59","locus_60","locus_61","locus_62","locus_63","locus_64","total_fit","trial_0_fit","trial_1_fit","trial_2_fit"
"0","220","199","54","204","124","254","39","158","111","142","145","147","207","22","19","105","0","205","254","115","227","241","50","45","209","73","164","119","105","196","71","254","72","205","175","221","85","230","165","221","228","96","66","86","52","225","38","204","122","198","178","130","46","36","178","122","248","65","45","17","246","111","115","86","182","158.41666666666666","142.0","333.25","0.0"
"1","220","199","54","204","124","254","39","158","111","142","145","147","207","22","19","105","0","205","254","115","227","241","50","45","209","73","164","119","105","196","71","254","72","205","175","221","85","230","165","221","228","96","66","86","52","225","38","204","122","198","178","130","46","36","178","122","248","65","45","17","246","111","115","86","182","240.08333333333334","152.0","165.5","402.75"
"2","220","199","54","204","124","254","39","158","111","142","145","147","207","22","19","105","0","205","254","115","227","241","50","45","209","73","164","119","105","196","71","254","72","205","175","221","85","230","165","221","228","96","66","86","52","225","38","204","122","198","178","130","46","36","178","122","248","65","45","17","246","111","115","86","182","129.91666666666666","210.0","153.25","26.5"
"3","220","199","54","204","124","81","39","158","111","142","145","147","207","186","19","105","0","205","254","115","227","241","50","45","183","73","164","119","105","196","71","254","72","205","175","221","85","230","223","221","228","96","66","86","52","225","38","204","122","198","178","130","46","36","178","122","248","65","45","17","246","111","115","86","182","88.0","7.0","128.5","128.5"
"4","228","199","54","204","124","254","39","158","111","142","229","147","207","22","19","105","0","205","254","115","227","241","50","45","209","73","164","119","105","196","71","254","72","205","175","221","85","230","165","221","228","96","66","86","52","225","38","204","122","198","178","130","46","36","178","122","248","65","45","17","246","111","115","86","182","23.0","0.0","23.75","45.25"
"5","106","32","16","166","137","2","206","255","211","113","253","243","160","194","66","38","180","99","153","237","225","229","93","128","119","43","140","34","101","17","177","12","98","33","176","164","109","95","49","83","138","84","163","48","225","142","182","158","58","1","17","155","118","248","102","172","153","46","253","17","245","41","247","230","20","50.916666666666664","0.0","152.75","0.0"
"6","106","32","16","166","137","2","206","255","211","113","253","243","160","194","66","38","180","99","153","237","225","229","93","128","119","43","140","34","101","17","177","12","98","33","176","164","109","95","25","83","138","84","163","48","225","142","182","158","58","1","17","155","118","248","102","172","153","46","252","17","48","41","247","230","20","75.33333333333333","0.0","28.0","198.0"
"7","106","32","16","166","137","2","206","255","211","113","253","243","160","194","66","38","180","99","153","237","225","229","93","128","119","43","140","34","101","17","177","12","98","33","176","164","109","95","49","83","138","84","163","48","225","142","182","158","58","1","17","155","118","248","102","172","153","46","252","17","125","41","247","22","20","37.75","70.25","0.0","43.0"
"8","106","32","16","166","127","2","206","255","87","113","253","243","160","194","66","38","180","99","153","237","225","229","93","128","119","43","140","34","101","17","177","12","98","33","176","164","109","95","49","83","138","84","163","48","225","142","182","158","58","1","17","155","118","248","102","172","153","161","252","17","125","41","247","230","20","0.0","0.0","0.0","0.0"
"9","106","32","16","166","137","2","206","255","211","113","253","243","160","194","66","38","180","99","153","237","225","229","93","128","119","43","140","34","101","17","177","12","98","33","176","164","109","95","49","83","138","84","163","48","225","142","182","158","58","1","17","155","118","248","102","172","153","46","252","17","125","41","247","230","20","7.916666666666667","0.0","23.75","0.0"
