"pop","locus_0","locus_1","locus_2","locus_3","locus_4","locus_5","locus_6","locus_7","locus_8","locus_9","locus_10","locus_11","locus_12","locus_13","locus_14","locus_15","locus_16","locus_17","locus_18","locus_19","locus_20","locus_21","locus_22","locus_23","locus_24","locus_25","locus_26","locus_27","locus_28","locus_29","locus_30","locus_31","locus_32","locus_33","locus_34","locus_35","locus_36","locus_37","locus_38","locus_39","locus_40","locus_41","locus_42","locus_43","locus_44","locus_45","locus_46","locus_47","locus_48","locus_49","locus_50","locus_51","locus_52","locus_53","locus_54","locus_55","locus_56","locus_57","locus_58","locus_59","locus_60","locus_61","locus_62","locus_63","locus_64","total_fit","trial_0_fit","trial_1_fit","trial_2_fit","trial_3_fit","trial_4_fit","trial_5_fit","trial_6_fit","trial_7_fit","trial_8_fit","trial_9_fit","trial_10_fit","trial_11_fit","trial_12_fit","trial_13_fit","trial_14_fit","trial_15_fit","trial_16_fit","trial_17_fit","trial_18_fit","trial_19_fit"
"0","244","209","209","69","93","95","183","173","122","142","124","28","240","81","200","82","124","223","223","163","67","245","52","226","20","223","55","38","20","43","253","252","51","204","22","43","159","110","87","237","239","88","15","228","62","144","230","5","179","110","153","155","121","189","88","232","49","13","124","7","160","244","163","209","96","456.3625","388.25","345.5","377.0","422.0","431.0","263.0","609.0","333.25","679.75","314.25","457.5","207.5","681.0","434.0","533.75","595.25","649.5","405.5","361.0","639.25"
"1","244","209","209","69","93","95","183","173","122","142","124","28","240","81","143","82","124","97","223","163","67","245","52","226","20","223","55","38","20","43","253","252","51","204","22","43","159","110","87","237","239","88","15","228","62","144","230","5","179","110","153","155","121","189","88","232","49","13","124","7","91","244","163","209","96","461.35","403.0","644.75","485.75","492.75","467.5","438.25","732.0","318.5","556.75","643.0","543.0","186.25","-27.25","450.75","587.25","526.75","504.0","389.75","524.5","359.75"
"2","244","209","209","69","93","95","183","173","122","142","124","28","240","81","143","82","124","97","223","163","67","245","52","226","20","223","55","38","20","43","253","252","51","204","22","43","159","110","87","237","239","88","15","228","62","144","230","5","179","110","153","155","121","189","88","232","49","13","124","7","91","244","163","209","96","472.5125","373.5","416.0","654.75","362.25","589.0","498.5","-258.0","471.75","532.5","398.75","650.0","614.25","606.5","632.75","397.0","598.5","431.5","635.75","437.5","407.5"
"3","244","209","209","39","93","95","183","173","122","142","124","28","240","81","143","82","124","97","223","163","67","245","52","226","20","223","236","38","20","43","253","252","51","204","22","43","159","110","87","237","239","88","15","228","62","144","230","5","179","110","153","155","121","139","88","232","49","13","124","7","91","244","163","209","96","340.4875","233.0","9.25","339.25","722.25","429.25","140.75","243.25","456.5","209.5","231.25","417.5","464.5","677.5","187.5","290.5","464.5","401.5","414.75","207.25","270.0"
"4","244","209","209","69","93","95","183","191","122","142","124","28","240","81","143","82","124","97","223","163","67","245","52","226","20","223","55","38","20","43","253","252","51","204","22","43","159","110","87","237","239","88","15","228","62","144","230","5","179","110","153","155","121","189","88","232","49","13","124","7","91","244","163","209","96","455.4","642.5","412.0","284.75","451.5","516.75","532.0","519.75","357.25","525.0","290.75","430.5","422.0","210.0","377.0","453.25","666.75","644.5","361.25","385.5","625.0"
"5","244","209","209","69","93","95","208","173","126","142","124","28","240","81","143","82","124","97","74","163","67","245","52","226","20","223","55","38","20","43","184","252","51","204","22","106","159","110","87","237","2","88","15","228","62","144","230","5","179","110","153","155","121","189","88","232","49","13","124","7","91","244","163","209","96","-40.8625","236.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-737.25","0.0","0.0","-926.75","536.25","0.0","248.25","19.5","67.25","424.75","-685.25"
"6","244","209","209","69","93","95","94","173","126","142","124","28","240","81","143","82","124","97","223","163","67","245","52","226","20","223","55","38","20","43","184","252","51","204","22","106","159","110","87","237","239","88","15","228","62","124","230","5","179","110","153","164","121","189","88","232","49","13","124","7","91","244","163","209","96","467.4375","606.0","509.5","431.25","396.5","660.5","315.5","430.75","512.0","639.5","368.5","307.25","412.25","676.0","644.25","503.75","537.0","646.75","351.25","-48.75","449.0"
"7","244","209","209","69","93","95","94","15","126","142","124","28","240","81","143","82","124","97","223","163","67","245","52","34","20","223","55","38","20","43","184","252","51","226","22","106","159","110","87","237","239","88","15","228","62","144","230","5","179","110","153","155","121","189","88","232","49","13","124","7","91","244","163","209","96","312.1125","218.0","185.5","400.25","386.5","224.0","243.0","476.75","157.75","174.5","188.25","228.5","408.0","346.25","459.0","476.25","414.5","437.5","190.0","159.75","468.0"
"8","244","209","209","69","93","95","94","173","126","142","124","28","240","81","143","82","124","97","223","163","67","110","52","226","20","223","55","38","20","43","184","252","51","204","22","106","159","110","87","237","239","88","15","228","62","144","215","5","179","110","153","155","121","189","88","232","49","13","124","7","91","244","163","209","96","513.3875","413.75","582.75","654.5","636.75","407.25","639.75","327.75","501.5","457.0","599.25","497.75","431.25","436.75","471.0","567.25","589.5","482.0","395.75","588.5","587.75"
"9","244","209","209","69","93","95","94","151","126","142","124","28","240","81","143","82","124","97","223","163","67","245","52","226","20","223","55","38","20","43","184","252","51","204","22","106","159","110","87","237","239","88","15","228","62","144","230","5","179","110","153","155","121","189","88","232","49","13","124","7","91","244","163","209","96","416.1625","864.25","585.75","334.5","638.0","391.0","394.25","-69.5","421.0","407.5","425.75","-28.25","574.75","326.75","480.5","421.5","321.5","437.75","462.0","398.25","536.0"
