"pop","locus_0","locus_1","locus_2","locus_3","locus_4","locus_5","locus_6","locus_7","locus_8","locus_9","locus_10","locus_11","locus_12","locus_13","locus_14","locus_15","locus_16","locus_17","locus_18","locus_19","locus_20","locus_21","locus_22","locus_23","locus_24","locus_25","locus_26","locus_27","locus_28","locus_29","locus_30","locus_31","locus_32","locus_33","locus_34","locus_35","locus_36","locus_37","locus_38","locus_39","locus_40","locus_41","locus_42","locus_43","locus_44","locus_45","locus_46","locus_47","locus_48","locus_49","locus_50","locus_51","locus_52","locus_53","locus_54","locus_55","locus_56","locus_57","locus_58","locus_59","locus_60","locus_61","locus_62","locus_63","locus_64","total_fit","trial_0_fit","trial_1_fit","trial_2_fit","trial_3_fit","trial_4_fit","trial_5_fit","trial_6_fit","trial_7_fit","trial_8_fit","trial_9_fit","trial_10_fit","trial_11_fit","trial_12_fit","trial_13_fit","trial_14_fit","trial_15_fit","trial_16_fit","trial_17_fit","trial_18_fit","trial_19_fit"
"0","244","209","95","69","44","95","183","173","51","196","51","28","244","81","24","82","124","40","223","163","67","245","76","185","20","223","65","38","254","134","27","252","109","111","22","43","159","101","58","237","193","92","65","228","7","253","240","5","250","110","170","210","232","203","119","14","97","13","66","7","125","243","163","209","169","503.3875","438.25","610.0","511.25","388.5","469.0","283.75","523.75","875.5","599.25","652.0","513.25","371.0","444.75","426.0","355.25","608.5","500.75","483.25","610.0","403.75"
"1","244","209","95","69","44","95","183","173","51","196","51","28","244","81","24","82","124","40","223","163","67","245","76","185","20","35","65","38","254","134","27","252","109","111","22","43","159","101","58","237","193","92","65","228","7","253","97","5","250","110","170","210","232","203","119","14","97","13","66","7","125","243","163","209","169","290.2","216.75","330.5","426.25","137.25","360.0","608.75","196.75","125.25","221.0","70.0","54.5","318.0","391.0","257.0","242.0","409.75","393.25","332.0","338.25","375.75"
"2","244","209","95","69","44","95","183","173","51","196","51","28","244","81","24","82","124","40","223","163","67","245","76","185","20","223","65","38","254","134","27","252","109","111","22","43","159","101","58","237","193","92","65","228","7","253","240","5","250","110","170","210","232","203","119","14","97","13","66","7","125","243","163","209","169","458.9625","428.75","541.0","507.0","287.0","498.75","421.75","284.0","522.0","832.75","460.0","407.25","521.25","411.25","508.75","545.25","454.25","347.25","517.5","352.5","331.0"
"3","244","209","95","69","44","95","183","173","51","196","51","28","244","81","24","82","124","40","223","163","67","245","76","185","20","223","65","38","254","134","27","252","109","111","22","43","159","101","58","237","193","92","65","228","7","253","240","5","250","110","170","210","232","203","119","14","97","13","66","7","125","243","163","209","169","452.0625","484.5","405.75","505.0","416.5","464.0","596.75","389.0","256.75","518.0","553.25","291.75","506.5","375.5","371.5","424.0","233.0","616.5","588.25","640.5","404.25"
"4","244","209","95","69","44","95","183","173","51","196","51","28","244","81","24","82","124","40","223","163","67","245","76","185","20","223","65","38","254","134","27","252","109","111","22","43","159","101","58","237","193","92","65","228","7","253","240","5","250","110","19","210","232","98","119","14","97","13","66","7","125","243","163","209","169","330.7125","458.25","295.0","455.75","118.0","627.0","474.25","395.75","311.5","-205.75","402.0","407.75","199.75","392.5","368.25","448.25","159.5","577.25","70.0","144.0","515.25"
"5","244","209","95","69","44","95","183","173","51","96","51","28","244","81","24","82","124","40","223","163","67","245","76","185","20","223","65","38","254","25","184","90","231","111","22","43","159","101","58","237","239","92","65","228","7","253","118","5","250","110","170","210","232","203","119","14","97","13","66","7","125","243","163","209","27","446.3625","637.5","344.25","511.25","367.25","560.0","505.0","437.25","524.0","343.5","-210.5","556.75","288.75","438.25","412.25","567.0","639.5","451.25","305.5","592.75","655.75"
"6","244","209","95","69","44","95","183","173","51","96","51","28","244","81","24","82","124","40","223","163","67","245","76","185","20","223","65","38","254","25","184","252","231","111","22","43","159","101","58","237","239","92","65","228","7","253","118","5","250","110","170","210","232","203","119","14","97","13","66","7","125","243","163","209","27","510.625","709.5","441.25","594.25","481.0","559.0","586.5","578.0","326.25","628.25","454.0","663.75","607.25","368.5","337.5","424.25","422.75","409.5","648.0","451.25","521.75"
"7","244","209","95","69","44","95","183","173","51","96","51","28","244","81","24","82","124","40","223","163","67","245","76","185","20","223","65","38","254","25","184","252","231","188","22","43","159","101","58","237","239","92","65","228","7","253","118","5","250","110","170","210","232","203","119","14","97","13","66","7","125","243","163","209","27","428.65","271.0","309.0","544.0","362.0","581.5","598.5","440.75","395.5","356.5","566.0","451.5","407.75","443.0","578.5","609.5","565.25","463.75","448.25","411.5","-230.75"
"8","244","209","95","69","44","95","183","173","51","96","51","28","244","81","24","82","124","40","223","163","67","245","76","185","20","223","65","38","254","25","184","252","231","111","22","43","159","101","221","237","239","92","65","228","7","253","118","5","250","110","170","210","232","203","119","14","97","13","66","7","125","243","163","209","27","370.6875","474.5","-75.25","277.5","215.75","369.5","392.0","410.5","694.25","633.75","359.75","383.75","402.25","79.5","489.75","468.75","313.5","49.25","678.5","419.75","376.5"
"9","244","209","95","69","44","95","183","173","51","96","51","28","244","81","24","82","124","40","223","163","67","245","76","145","20","223","65","38","254","25","184","252","231","231","22","43","159","101","58","237","239","92","65","228","7","253","118","5","250","110","170","210","232","203","119","14","97","13","66","7","125","243","163","209","27","382.85","630.5","249.25","83.25","413.0","593.0","318.25","331.0","605.0","306.0","-45.0","388.5","367.25","474.75","225.0","249.0","415.75","593.5","554.25","477.75","427.0"
"10","244","209","191","69","44","215","149","173","18","96","182","28","122","81","172","82","124","97","223","163","67","245","76","185","20","223","65","38","215","18","152","58","51","153","22","3","247","99","9","237","239","88","246","205","166","253","228","5","250","110","170","210","250","189","121","183","97","13","66","7","125","177","163","209","96","279.3","261.25","281.5","249.5","144.75","157.25","240.75","305.75","173.25","412.0","193.0","370.75","31.75","341.75","292.75","454.75","516.0","324.25","343.25","181.0","310.75"
"11","244","209","191","69","44","35","183","173","18","96","182","28","240","81","172","82","124","97","223","163","67","245","76","185","20","223","65","38","215","18","152","58","51","106","22","3","247","99","9","237","239","88","246","205","166","253","228","5","250","110","170","210","250","189","121","183","97","13","66","7","125","177","163","209","96","487.975","416.25","659.25","522.5","638.0","380.75","579.25","432.5","381.5","51.75","436.5","-227.0","883.75","609.0","433.5","662.0","659.0","563.0","590.5","531.5","556.0"
"12","244","209","191","69","44","215","183","173","18","96","182","28","240","81","172","82","124","97","223","163","67","245","76","185","20","223","65","38","215","18","152","58","51","106","22","3","247","99","9","237","239","88","246","205","166","253","228","5","250","110","170","210","250","189","121","183","97","13","66","7","125","177","163","209","96","488.075","576.0","396.5","636.75","382.5","439.5","392.5","498.75","579.0","451.25","371.0","411.75","429.0","358.5","822.75","332.25","441.75","630.0","546.25","701.75","363.75"
"13","244","209","191","69","44","215","183","173","18","96","182","28","240","81","172","82","124","97","223","163","67","245","76","185","20","223","65","38","215","18","152","58","51","106","22","3","247","99","9","60","239","88","246","205","166","253","228","5","250","110","170","210","250","189","121","183","97","13","66","7","125","177","163","209","96","427.3125","509.5","373.25","30.5","342.5","629.25","362.0","226.0","502.0","717.25","323.75","580.5","325.75","-2.25","474.0","644.25","479.0","565.75","380.75","599.0","483.5"
"14","244","209","191","69","44","215","183","173","18","96","182","28","240","81","172","82","124","97","223","163","67","245","76","185","20","223","65","38","215","18","152","58","51","106","22","3","159","99","9","237","239","88","246","205","166","253","228","5","250","110","170","210","250","189","121","183","97","13","66","7","125","177","163","209","96","430.6375","603.0","418.25","495.0","588.0","356.5","465.5","577.0","348.5","97.5","554.75","423.0","513.5","363.5","559.75","425.25","403.0","410.5","533.75","423.5","53.0"
"15","159","209","144","220","44","95","183","97","18","96","182","28","240","146","172","82","124","97","223","163","67","245","76","185","204","223","65","38","253","25","152","58","51","244","22","43","247","101","108","143","239","213","65","205","166","253","81","5","250","110","170","210","171","189","88","183","100","13","66","7","125","177","163","209","96","479.3125","432.5","-62.75","439.5","332.75","337.75","557.5","336.25","576.0","620.75","373.0","617.5","538.5","480.75","648.25","669.25","354.25","680.0","553.75","578.75","522.0"
"16","159","209","144","220","44","95","183","97","18","96","182","202","240","146","172","82","124","97","223","163","67","245","76","185","204","223","65","38","253","25","152","58","51","244","22","43","247","101","108","143","239","213","65","205","166","253","81","5","250","110","170","210","171","189","88","183","100","13","66","7","125","177","163","209","96","345.125","338.0","366.5","176.5","543.75","564.25","338.25","331.75","271.5","294.0","563.75","599.0","423.0","451.75","373.75","275.0","305.0","-217.25","332.25","297.25","274.5"
"17","159","209","144","220","44","95","183","97","18","96","182","28","240","146","172","82","124","135","223","163","67","245","76","162","204","223","65","38","253","25","152","58","51","244","22","43","247","101","108","143","239","213","65","205","166","253","81","5","250","110","170","210","171","189","88","183","15","13","66","7","125","177","163","209","96","429.2125","511.5","429.25","547.75","522.5","-876.5","675.0","757.0","483.0","386.0","612.5","401.5","301.0","377.0","396.0","480.5","285.75","518.0","584.5","598.75","593.25"
"18","159","209","144","220","44","95","183","97","18","96","182","28","240","146","172","82","124","97","223","163","67","245","76","185","204","223","65","38","253","25","152","58","51","244","22","43","247","101","108","143","239","213","65","205","166","253","81","5","250","110","170","210","171","189","88","183","100","13","66","7","125","177","163","209","96","379.4875","537.0","377.25","452.75","298.25","395.25","392.0","-80.25","151.0","474.25","558.75","451.0","528.25","434.75","436.5","560.25","314.5","571.25","343.0","10.25","383.75"
"19","159","209","144","220","44","95","183","97","18","96","182","28","240","146","172","82","124","97","223","163","67","245","76","185","204","223","65","38","253","25","152","58","51","244","22","43","247","101","108","143","239","213","65","205","166","253","81","5","250","110","170","210","171","189","88","183","100","13","66","7","125","177","163","209","96","386.475","299.25","369.0","471.75","392.25","-60.75","370.75","429.0","423.25","556.75","37.0","609.0","341.25","438.75","370.25","289.75","556.75","284.5","492.25","504.5","554.25"
"20","244","209","95","69","44","95","183","173","51","196","51","28","244","81","24","73","124","253","223","163","67","245","76","185","20","223","65","4","254","134","27","252","109","111","22","43","159","101","58","237","193","92","65","228","7","253","240","5","250","110","170","210","232","203","119","14","97","13","66","7","125","243","163","209","169","390.8","303.75","219.25","320.25","342.5","633.25","421.75","324.0","250.5","326.25","587.5","379.25","490.75","233.25","403.0","362.75","252.5","457.25","611.75","458.75","437.75"
"21","244","209","95","69","44","95","183","173","51","196","51","28","244","81","24","82","124","40","223","163","67","245","76","185","20","223","65","38","254","134","27","252","109","111","22","43","159","101","58","237","193","92","65","228","189","253","240","5","250","110","170","210","232","203","119","14","97","13","66","249","125","243","163","209","169","149.925","222.0","130.5","124.5","151.5","204.25","183.0","100.25","152.0","139.5","168.5","85.75","164.5","197.0","149.25","133.5","145.75","142.5","144.75","117.5","142.0"
"22","244","209","95","69","44","95","183","173","51","196","51","28","244","81","24","82","124","40","223","163","67","245","76","185","20","223","65","38","254","134","27","252","109","111","22","43","159","101","58","237","193","92","65","228","7","253","240","5","250","110","170","210","232","203","119","14","97","13","66","7","125","243","163","209","169","452.725","321.25","670.5","289.75","604.25","788.0","367.75","269.0","250.25","453.0","412.25","521.25","378.25","379.0","366.0","340.25","692.0","508.25","404.25","298.0","741.25"
"23","244","209","95","69","44","95","183","173","51","196","51","28","244","81","24","82","124","40","223","163","67","245","76","185","20","223","65","38","254","134","27","252","109","111","22","43","159","101","58","237","193","92","65","228","7","253","240","5","250","110","170","210","232","203","119","14","97","13","66","7","125","243","163","209","169","432.3125","569.0","520.5","203.0","403.75","417.75","341.5","128.0","509.5","618.5","316.0","488.75","418.75","411.25","337.5","611.75","527.5","320.5","573.75","371.0","558.0"
"24","244","209","95","69","44","95","183","173","51","196","51","28","244","81","24","82","124","40","223","163","67","245","76","185","20","223","65","38","254","134","27","252","109","111","22","43","159","101","58","237","193","92","65","228","7","253","240","5","250","110","170","210","232","203","119","14","97","149","66","7","125","243","163","209","169","308.3125","271.0","323.0","311.5","256.25","317.5","259.5","412.25","217.75","92.0","389.0","272.25","270.75","393.75","413.25","108.75","445.75","210.5","374.5","401.0","426.0"
"25","244","209","95","69","44","95","183","173","51","96","51","28","244","81","24","82","124","40","223","163","67","245","76","185","20","223","27","38","254","25","27","252","79","65","22","43","159","101","58","237","193","94","65","44","7","253","240","5","250","110","170","210","232","159","119","14","31","13","66","7","125","243","163","209","86","473.5","251.25","415.5","458.75","665.75","575.75","413.0","-54.75","456.25","378.0","379.0","623.75","640.25","356.0","438.75","527.75","758.25","428.75","411.75","511.5","834.75"
"26","244","209","95","69","44","95","183","173","51","96","51","28","244","81","24","82","124","40","223","163","67","245","76","185","20","223","27","38","254","25","27","252","79","65","22","43","159","101","58","237","193","94","65","44","7","253","240","5","250","110","170","210","232","159","119","14","97","13","66","7","125","243","163","209","169","447.325","230.0","657.25","439.75","378.0","650.5","503.5","657.5","543.25","587.75","428.5","527.5","476.75","161.25","212.5","356.5","593.0","503.25","346.75","293.75","399.25"
"27","244","209","95","69","44","95","183","6","51","96","51","28","244","81","24","82","124","40","223","163","67","245","76","185","20","223","27","38","254","25","27","252","79","65","22","43","159","101","58","237","193","94","65","44","7","253","240","5","250","110","170","210","232","159","119","14","97","41","66","7","125","243","163","209","169","458.225","577.25","271.25","479.75","480.5","634.25","94.0","598.5","437.5","310.25","485.25","657.75","458.25","448.25","585.0","485.5","143.25","572.5","610.75","521.5","313.25"
"28","244","209","95","69","44","95","183","173","51","96","51","28","244","81","24","82","124","40","223","163","67","245","76","185","20","223","27","38","254","25","27","252","79","65","22","43","159","101","58","237","193","94","65","44","7","253","240","5","250","49","170","210","232","159","119","14","97","13","66","7","125","243","163","209","169","470.2125","424.0","678.5","838.5","374.5","607.5","639.5","337.5","462.5","472.5","-153.25","720.0","362.0","560.25","435.75","669.25","566.25","657.5","7.25","412.5","331.75"
"29","244","209","95","69","44","95","183","173","51","96","51","28","244","81","244","82","124","40","223","163","67","245","76","185","20","223","27","38","254","25","27","252","79","65","22","43","159","101","58","237","193","94","65","44","7","253","240","5","250","110","170","210","232","159","119","14","97","237","66","7","125","243","163","209","169","356.15","367.0","359.5","435.25","321.25","405.75","429.75","367.75","384.5","403.25","319.0","142.0","389.5","373.75","324.25","393.25","301.0","457.0","337.75","220.75","390.75"
"30","244","209","191","149","44","120","183","173","172","96","19","28","240","81","143","20","136","97","245","163","67","168","64","185","20","223","65","31","12","157","184","52","35","162","231","43","159","101","61","207","89","88","65","81","7","253","228","5","250","110","162","206","71","189","88","14","97","13","66","7","125","177","163","209","96","506.4625","443.75","446.0","375.25","396.0","370.75","583.5","548.75","366.25","593.25","393.25","512.0","553.5","501.5","808.0","429.25","639.5","526.25","359.75","731.5","551.25"
"31","244","209","191","149","44","120","183","173","172","96","19","28","240","81","143","20","136","97","245","163","67","168","64","185","20","223","65","31","12","157","184","52","51","162","231","43","159","101","61","207","89","88","65","81","7","253","228","5","250","110","162","206","71","189","88","14","97","13","66","7","125","177","163","209","96","504.2625","544.5","431.75","618.75","486.0","376.5","761.5","388.75","432.5","769.25","457.75","119.25","662.25","408.5","571.75","413.0","629.5","641.0","474.25","367.5","531.0"
"32","244","209","191","149","44","120","183","173","172","96","19","28","240","81","143","20","136","97","245","163","67","168","64","185","20","223","65","31","12","157","184","52","51","162","231","43","159","101","61","207","89","88","65","81","7","253","228","5","250","110","162","206","71","189","88","14","97","13","66","7","125","177","163","209","96","452.25","242.0","384.75","426.0","367.0","602.0","573.75","349.25","472.75","536.0","439.0","391.0","453.0","456.75","222.25","446.0","521.75","374.0","369.25","734.0","684.5"
"33","244","209","191","149","44","120","183","173","172","96","19","28","240","81","143","20","136","97","245","163","67","168","64","185","20","223","65","31","12","157","184","52","51","162","231","43","159","101","61","207","89","88","65","81","7","253","228","5","250","110","162","206","71","189","88","14","97","13","66","7","125","177","163","209","96","479.4","467.0","532.75","637.75","376.0","505.5","458.0","490.75","583.0","397.25","553.0","387.0","665.75","446.0","625.0","-51.5","477.0","418.5","666.25","506.75","446.25"
